x,y,target,stimulus_id
1.2647007,4.8011627,Fem,-BaTPbE0Gdo
3.4013708,7.997397,Fem,-KKsNKY4V8k
3.2399943,5.6430283,Mix,-Mqc2csT3ZM
1.1075386,5.284077,Fem,-NEHGAMiA2I
6.208186,7.2857094,Masc,-SEKfzdaIK0
1.2263118,5.1405344,Mix,-a9Jmy2fs3I
4.995975,6.4199705,Mix,-o98tc5dDUI
7.331345,6.3231697,Mix,-vSutSWNgLU
7.4026146,8.425875,Masc,02qnqWCCdaI
6.1285534,6.0133085,Masc,04YHrUko8yI
7.002043,7.9648204,Mix,04ww4xZ8pH4
6.844075,6.182004,Mix,06_OXzp1jh0
3.908483,7.1278777,Mix,0YThUgMIgac
2.7058713,6.9062133,Mix,0nAk-a4j7dE
4.816869,7.420151,Mix,11tm3fB0E2g
7.2081876,7.5631094,Masc,14kqmlI3G80
2.8203173,5.157764,Fem,1RLA2K18riE
5.0881057,6.9484644,Mix,1cBoo3E5b3Y
4.88079,7.213063,Fem,1eojD029X8E
0.7521694,5.1238694,Fem,1onOMfFae74
6.075098,5.9140887,Masc,1svuTm2KSiw
3.850374,7.048562,Mix,1y538s1N3To
3.1305258,7.080498,Fem,1yH1AS7GGZU
1.1757244,5.889519,Mix,2-m3SEGs0kM
7.8960876,8.072798,Masc,26hYGh4SYX4
8.103355,6.7066464,Masc,26jBFBmrmr4
2.8887749,5.079423,Fem,27vHKP9QsqU
5.0927424,8.20191,Mix,2J7ZM8U9bw0
6.1773243,5.0292583,Fem,2KH0C36fKkk
3.7767348,5.2469053,Fem,2LZjLBipdfI
7.223618,8.062751,Masc,2dgTRykXw1E
1.5513804,4.6405644,Fem,2g5RT58wvMQ
3.7589037,7.297575,Fem,33BwTrRpbR0
5.092494,7.5907717,Mix,39QOYRNmfjg
2.142731,7.1712847,Mix,3IT9g-IHkcE
7.7817645,5.942535,Mix,3cZMIJq5gis
7.7334704,7.183565,Masc,3vqm0DO40gU
6.265345,7.647943,Fem,3ysC1-foJT4
2.4664173,6.352305,Mix,42wqjpxHMdA
