x,y,target,stimulus_id
9.948081,2.612964,Fem,-BaTPbE0Gdo
8.78551,4.38015,Fem,-KKsNKY4V8k
9.818562,3.1363947,Mix,-Mqc2csT3ZM
9.780448,1.0794371,Fem,-NEHGAMiA2I
7.107656,5.2859755,Masc,-SEKfzdaIK0
9.996425,3.433931,Mix,-a9Jmy2fs3I
8.939802,4.0242844,Mix,-o98tc5dDUI
5.142086,4.8828497,Mix,-vSutSWNgLU
1.9221518,4.505591,Masc,02qnqWCCdaI
4.5926166,3.6070654,Masc,04YHrUko8yI
6.266993,2.7254508,Mix,04ww4xZ8pH4
6.1189775,5.1371245,Mix,06_OXzp1jh0
6.5540543,1.430161,Mix,0YThUgMIgac
9.012685,4.799604,Mix,0nAk-a4j7dE
8.14008,5.4381604,Mix,11tm3fB0E2g
4.294738,5.1756206,Masc,14kqmlI3G80
9.969451,2.0830069,Fem,1RLA2K18riE
6.691601,4.419928,Mix,1cBoo3E5b3Y
9.070238,2.7133026,Fem,1eojD029X8E
10.712071,2.5645344,Fem,1onOMfFae74
4.894094,3.5770106,Masc,1svuTm2KSiw
7.592246,4.6877627,Mix,1y538s1N3To
8.107305,4.0902357,Fem,1yH1AS7GGZU
7.200998,2.4550986,Mix,2-m3SEGs0kM
2.401331,5.350689,Masc,26hYGh4SYX4
1.245921,5.772816,Masc,26jBFBmrmr4
9.259422,0.82872206,Fem,27vHKP9QsqU
7.6809297,5.734197,Mix,2J7ZM8U9bw0
8.156077,1.6399815,Fem,2KH0C36fKkk
9.437185,3.6952958,Fem,2LZjLBipdfI
4.2557464,5.339695,Masc,2dgTRykXw1E
5.4652443,4.382871,Fem,2g5RT58wvMQ
6.961107,3.9481425,Fem,33BwTrRpbR0
6.734271,4.328178,Mix,39QOYRNmfjg
5.6509595,3.4678762,Mix,3IT9g-IHkcE
6.146584,4.7080374,Mix,3cZMIJq5gis
3.0219111,5.563311,Masc,3vqm0DO40gU
9.045142,3.2596252,Fem,3ysC1-foJT4
9.322996,4.779559,Mix,42wqjpxHMdA
5.217313,5.7757044,Mix,48EkYd1GFhY
8.893904,4.8451843,Mix,4Hl1wINuquM
4.765366,4.9789276,Masc,4bLSlZyZRXc
8.0955305,3.988867,Fem,4e-j6uyqKxI
8.80697,1.8445809,Fem,4fMS076F8pU
6.2661047,5.0587606,Mix,4ih5OAZKZQA
9.21989,5.1573253,Mix,5P9kXntCLPw
4.6768923,5.5974073,Masc,5PEpjVowR90
8.06882,4.6110144,Mix,5RVqzWqVpME
7.517963,4.928727,Mix,5cU-BzR-fek
4.316941,4.248711,Masc,5cthvmrEpJ4
6.258628,3.8926764,Mix,5fxq9sCyMqM
8.328128,5.15172,Mix,5o0l0bpeTaQ
9.273574,0.66638356,Fem,6NL_inUJ-yE
4.9164066,4.3209815,Mix,6Pv0_aeYoCE
1.394606,5.7519045,Masc,6ZhSFjnUvBs
6.114461,3.8326426,Mix,6cYp20jojU0
9.271026,4.6567197,Mix,6q8reMr7gNA
8.305611,4.2008843,Fem,6sKnzn9diL8
7.250506,1.4739879,Fem,6yR2CgfoRbo
9.883712,1.7106225,Mix,705VQvekdx8
2.7804568,6.307958,Masc,76xq8R9cEOI
9.925305,0.9503027,Mix,79j4Qnyb7dg
4.7201943,4.1188293,Masc,7V_e5xlmSqM
8.142367,5.0286775,Mix,7ZEF-H-Cyno
9.711151,0.6766472,Fem,7bB2elKsUFE
