stimulus_id,all_genders,voice_type,voice_age,voice_gender,voice_exagg,title,description,upload_date,download
ndzo2ZIWfiQ,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Tessie Goes Trotting TV commercial,,20120907,True
yRUiwRKk6QM,Mixed,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Smyths Toys - Star Wars Jedi Training Remote,"Now you can train like a Jedi! Use the power of the Force to control this miniature droid used in Jedi combat training. Jedi Training Remote is propeller powered, and features repulsors, as seen on the original Jedi Training Remote featured in Star Wars, ‘A New Hope’. Train like Luke Skywalker and avoid the simulated sting beams which fire at random! Switch between 2 modes using the RC handset (included). Mode 1 allows Remote Control function to govern speed and height plus manual fire of the Sting Beams. Mode 2 is ‘Force Control’ which sets the Jedi Training Remote into Auto Hover using Artificial Intelligence, just like the original in the movie! In Mode 2 you can use the power of the Force and control its height by waving your hand, feet or any solid deflecting object below it. In constant use Jedi Training Remote will Auto Fly for 5-6 minutes. Recharges in less than 30 minutes using the USB cable included.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/star-wars/star-wars-jedi-training-remote/p/161992

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/star-wars/c/SM06010118",20170920,True
3ysC1-foJT4,Girls/women,Sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Aqua Crystals- Smyths Toys,"Just add water to make endless crystal creations with the Aqua Crystals Deluxe Design Studio. With everything you need to make sparkly rings, hair accessories, dream charms, necklace pendants, bracelets, key rings and other magical creations. The possibilities are endless.

To start simply choose your mould, fill with the colourful magical crystal to create a unique design, then simply add water and wait for your creations to be revealed.

These sparkling crystal accessories are ideal to experiment and accessorise with. Perfect as gifts for your friends or keep for yourself!

Purchase products at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/fashion-craft/aqua-crystals-deluxe-design-studio/p/167411",20180802,True
cYszuGaptkk,Mixed,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",PAW Patrol Dino Rescue HQ Playset - Smyths Toys,"Create your own exciting dino rescue missions with the PAW Patrol Dino Rescue HQ! Featuring sounds and a spiralling transformation into tower mode, this awesome playset looks just like the high-tech headquarters from the show! The Dino Rescue HQ has everything you need for your missions, including an exclusive Rex figure and vehicle, plus a mystery mini dino figure.

Shop the PAW Patrol Dino Rescue HQ here: https://www.smythstoys.com/toys/pre-school-and-electronic-learning/paw-patrol/paw-patrol-dino-rescue-hq-playset-with-sounds-and-exclusive-rex-figure-and-vehicle/p/188281

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #PAWPatrol #DinoRescue",20201028,True
2LZjLBipdfI,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,VIP Pets Fabio & Fabia's Hair Salon Playset- Smyths Toys,"Fabio & Fabia's Hair salon is the most loved place in the VIP Pets series and now it’s a playset. This is where our friends the VIP Pets go to get their fantastic super long hair done! The playset comes with exclusive VIP Pet Kiara. Start by washing their hair with real water. Next you can sit your VP in the styling chair and comb her hair.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/vip-pets-fabio-and-fabia-s-hair-salon-playset/p/190613

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201106,True
_ob7euNGFxw,Girls/women,Sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Smyths Toys -  Bratz Study Abroad,"Bratz Study Abroad Cloe Doll
The Bratz friends have studied abroad and visited some amazing places. Cloe has travelled to China. Here Cloe has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Cloe doll comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14728/bratz-study-abroad-cloe-doll/

Bratz Study Abroad Raya Doll
The Bratz friends have studied abroad and visited some amazing places. Raya has travelled to Mexico. Here Raya has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Raya comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14743/bratz-study-abroad-raya-doll/

Bratz Study Abroad Jade Doll
The Bratz friends have studied abroad and visited some amazing places. Jade has travelled to Russia. Here Jade has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Jade comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14732/bratz-study-abroad-jade-doll/

Bratz Study Abroad Yasmin Doll
The Bratz friends have studied abroad and visited some amazing places. Yasmin has travelled to Brazil. Here Yasmin has adopted some of the culture's traditional fashion and style into their own wardrobe for a unique look! Bratz doll Yasmin comes with two outfits, luggage that really opens and closes, and lots of detailed accessories.
http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-487/bratz/p-14735/bratz-study-abroad-yasmin-doll/",20151020,True
iwMf1aU3h2Q,Girls/women,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Disney Princess Hair Play Feature Rapunzel Doll- Smyths Toys,"Have the best day ever with Disney Princess Hair Glow Rapunzel, part of Disney’s Ultimate Princess Celebration program!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/disney-princess/disney-princess-hair-play-feature-rapunzel-doll/p/200015

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/disney-princess/c/SM06010411

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211102,True
tTmh2c2AtXw,Girls/women,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",MLP: Sunset Shimmer - Celebrity Fashion Stylist Laura Schuffman's Inspiration,"Subscribe to the Smyths Toys Superstores YouTube channel: https://goo.gl/rAosm1

Official Smyths Toys Superstores website:  https://www.smythstoys.com/",20180108,True
iAdS053L7L0,Boys/men,There are no voices,There are no voices,There are no voices,There are no voices,NERF Rival Prometheus MXVIII-20K- Smyths Toys,"Experience the intensity of this Nerf Rival toy blaster that bombards opponents with up to 8 rounds per second*! The fully motorised Prometheus MXVIII-20K blaster holds a whopping 200 rounds in its easy- loading hopper and fires rounds at a velocity of 100 feet per second (30 meters per second). It includes a rechargeable NiMh battery, so there’s no need to stock up on batteries to power up this juggernaut. It comes with 200 high-impact rounds and has a trigger lock, tactical rail, and shoulder strap. The Prometheus MXVIII-20K blaster is part of Phantom Corps, a group of rogue specialists who may join Team Red or Team Blue today, then challenge them tomorrow. Wear the included red and blue flags to join Team Red or Team Blue, or use them in capture- the-flag battles.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/nerf/nerf-rival/nerf-rival-prometheus-mxviii-20k/p/167569

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/nerf/nerf-rival/c/SM0601020301

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20181003,True
suodJ1Iq-kI,Girls/women,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,L.O.L Surprise Big B.B. Doll- Smyths Toys,"Introducing LOL Surprise Big B.B. (Big Baby), a BIG version of a fan favourite character with real fashions and cute accessories to unbox.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/l-o-l-surprise-big-b-b-big-baby-bon-bon-28cm-large-doll/p/193290

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/c/SM06010488

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210201,True
