Electric/Acoustic,Distorted/Clear,Many Instruments/Few Instruments,Loud/Soft,Heavy/Light,High pitch/Low pitch,Wide pitch variation/Narrow pitch variation,Punchy/Smooth,Harmonious/Disharmonious,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Dense/Sparse,Strong beat/Weak beat,prolific_id,stimulus_id
2,3,3,3,3,5,6,4,3,4,5,6,4,5,4,5ebd495e39fb6f017b95054a,Zl-50U1tsBM
3,7,7,2,7,1,6,2,5,5,5,7,5,7,5,612b5a2c55286e4cf74a63ee,VIqv8YRVDuY
3,5,3,3,3,5,3,2,3,3,3,3,3,3,2,5d4d9ea8c088850019ec5b32,Zl-50U1tsBM
5,5,3,5,5,3,3,5,5,5,5,3,5,3,5,5f29ed73209c1b1a178602e3,VIqv8YRVDuY
7,7,7,6,6,2,5,3,3,2,2,7,3,6,4,6284049591dc2c6570e93482,2-m3SEGs0kM
4,3,5,5,3,4,4,4,3,3,3,6,3,5,6,611a634c7e0e602c9a6b3ad1,HO-GyyhtDnA
3,3,3,2,2,5,3,3,5,3,3,2,2,2,2,6284049591dc2c6570e93482,Zl-50U1tsBM
5,6,1,3,3,6,6,4,7,7,1,7,3,1,1,5beab62b2bb2960001c9b288,Zl-50U1tsBM
5,4,3,3,4,5,4,3,4,5,4,5,4,2,3,6284049591dc2c6570e93482,cYszuGaptkk
5,5,6,6,6,2,3,3,2,2,3,5,3,3,3,611a634c7e0e602c9a6b3ad1,VIqv8YRVDuY
6,6,6,6,6,2,6,6,2,2,3,3,3,3,5,5f29ed73209c1b1a178602e3,pdzliNhlqWI
6,5,2,3,3,4,3,2,2,3,3,5,4,3,3,5fea2e6613597c51a166f24d,Zl-50U1tsBM
1,7,7,6,5,2,3,3,6,7,2,7,5,7,6,5beab62b2bb2960001c9b288,pdzliNhlqWI
7,6,2,6,6,4,2,6,2,3,2,3,3,5,6,5fc00a11268eb941e7d8b066,VIqv8YRVDuY
6,3,4,5,7,4,5,6,1,1,2,6,5,4,3,5fc00a11268eb941e7d8b066,pdzliNhlqWI
6,6,5,5,5,3,3,3,2,3,3,6,3,5,2,57a6891d8eccbc0001f39f89,2-m3SEGs0kM
3,2,5,3,2,3,3,4,3,3,6,5,3,2,3,5de0803843e90d0fcc462b13,Zl-50U1tsBM
5,6,2,4,7,2,3,5,2,2,7,2,3,2,5,60b7be9f5e3d9290ded3bedf,VIqv8YRVDuY
3,3,5,4,2,6,6,2,6,6,6,2,3,6,3,5de0803843e90d0fcc462b13,HO-GyyhtDnA
7,6,2,5,2,4,2,4,1,2,4,3,3,2,2,60b7be9f5e3d9290ded3bedf,Zl-50U1tsBM
5,3,3,6,5,4,3,6,3,3,5,2,5,2,4,60b7be9f5e3d9290ded3bedf,cYszuGaptkk
3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,5d4d9ea8c088850019ec5b32,VIqv8YRVDuY
2,5,6,4,4,4,5,3,4,5,3,5,4,3,4,5ebd495e39fb6f017b95054a,HO-GyyhtDnA
2,3,5,3,2,6,7,2,6,7,2,5,3,1,2,608702d7661a76c56f62a02a,HO-GyyhtDnA
6,6,2,4,6,2,5,6,2,2,3,3,3,3,4,60c114f1542c86cb1e3e7c86,2-m3SEGs0kM
2,2,4,2,2,5,3,3,5,5,5,6,4,2,3,6284049591dc2c6570e93482,HO-GyyhtDnA
1,5,3,4,6,4,3,3,3,3,3,3,4,4,4,60c114f1542c86cb1e3e7c86,VIqv8YRVDuY
2,5,6,3,3,4,2,3,2,2,3,6,2,5,2,611a634c7e0e602c9a6b3ad1,Zl-50U1tsBM
5,6,6,6,6,2,3,3,2,2,1,7,3,5,2,611a634c7e0e602c9a6b3ad1,2-m3SEGs0kM
6,7,5,3,7,3,4,2,2,1,1,6,3,6,2,5fea2e6613597c51a166f24d,2-m3SEGs0kM
5,5,5,4,5,4,4,3,3,3,2,7,3,5,2,5c4afb7234ee9300011cbbfc,2-m3SEGs0kM
5,6,5,6,5,5,5,3,2,2,2,3,5,5,3,5ba11949a896050001d50742,pdzliNhlqWI
6,6,7,5,7,2,6,6,4,3,2,6,3,6,4,5961076cee166f00019591bf,2-m3SEGs0kM
6,6,6,6,6,2,4,3,6,7,7,6,6,6,6,5961076cee166f00019591bf,cYszuGaptkk
6,4,4,6,4,6,6,2,5,3,6,2,4,4,2,60b7be9f5e3d9290ded3bedf,HO-GyyhtDnA
2,2,5,4,3,5,5,2,4,4,6,6,6,6,6,601969ac51c0bc0556499ddd,Zl-50U1tsBM
4,4,4,4,4,4,4,3,4,4,4,6,4,6,4,601969ac51c0bc0556499ddd,cYszuGaptkk
4,7,6,7,7,4,7,5,3,3,2,6,4,5,6,601969ac51c0bc0556499ddd,2-m3SEGs0kM
7,7,1,2,7,4,7,1,1,1,7,7,4,2,1,5d432a9dfc19f8001a2964e7,pdzliNhlqWI
7,5,5,6,6,4,3,6,2,2,3,6,4,5,4,5b82e33f184f45000155f0ba,2-m3SEGs0kM
5,4,5,5,5,4,4,2,3,5,4,4,4,4,3,5b82e33f184f45000155f0ba,pdzliNhlqWI
2,2,4,2,2,6,4,3,7,7,4,4,3,3,6,5b82e33f184f45000155f0ba,HO-GyyhtDnA
4,6,6,6,7,3,3,5,3,5,6,1,3,6,6,6057810acf80d91784eb5b15,VIqv8YRVDuY
5,5,3,5,3,3,3,2,3,3,3,3,2,3,3,5d4d9ea8c088850019ec5b32,2-m3SEGs0kM
3,6,6,6,6,4,5,4,3,3,3,6,4,4,4,5ebd495e39fb6f017b95054a,cYszuGaptkk
5,3,5,3,2,5,3,2,5,5,5,5,5,5,5,5d4d9ea8c088850019ec5b32,cYszuGaptkk
4,5,6,4,5,4,3,4,4,7,7,7,4,7,7,5beab62b2bb2960001c9b288,VIqv8YRVDuY
6,6,6,6,6,2,3,6,2,2,3,5,4,5,6,5f29ed73209c1b1a178602e3,2-m3SEGs0kM
6,6,7,4,4,6,7,4,3,3,1,7,3,7,7,5beab62b2bb2960001c9b288,2-m3SEGs0kM
2,3,3,3,5,4,4,4,3,3,2,3,4,3,6,5c4afb7234ee9300011cbbfc,cYszuGaptkk
7,6,5,3,5,3,3,3,2,2,2,6,5,5,2,611a634c7e0e602c9a6b3ad1,pdzliNhlqWI
3,6,2,5,3,3,2,3,3,3,5,3,3,2,3,5f29ed73209c1b1a178602e3,Zl-50U1tsBM
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5beab62b2bb2960001c9b288,HO-GyyhtDnA
3,2,6,5,5,2,5,5,5,5,5,3,3,3,5,5f29ed73209c1b1a178602e3,cYszuGaptkk
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5beab62b2bb2960001c9b288,cYszuGaptkk
4,5,3,3,4,4,3,3,5,4,3,3,3,2,4,5c4afb7234ee9300011cbbfc,Zl-50U1tsBM
6,6,3,2,2,6,5,3,5,3,3,5,2,3,3,60c114f1542c86cb1e3e7c86,Zl-50U1tsBM
3,2,4,7,2,4,7,3,4,6,5,6,4,5,5,5fea2e6613597c51a166f24d,HO-GyyhtDnA
7,2,3,3,2,3,3,2,2,2,3,2,2,2,3,616823f4aacb6e9b1cde751c,Zl-50U1tsBM
3,5,5,4,5,3,4,3,4,4,4,3,4,6,3,5ea1950819664f04542a50bf,Zl-50U1tsBM
3,6,4,3,6,2,3,2,4,4,3,5,2,3,3,5b7924d8338a93000154ad21,cYszuGaptkk
2,3,3,1,1,5,3,2,5,5,3,3,3,3,3,5d4d9ea8c088850019ec5b32,HO-GyyhtDnA
3,5,6,6,5,6,6,2,3,6,2,5,6,5,2,608702d7661a76c56f62a02a,VIqv8YRVDuY
2,3,3,3,2,5,3,3,5,5,5,3,3,3,3,5f29ed73209c1b1a178602e3,HO-GyyhtDnA
6,4,4,5,6,3,3,2,3,2,3,3,4,5,3,6284049591dc2c6570e93482,pdzliNhlqWI
5,5,2,5,4,4,3,5,3,3,3,3,3,3,4,60c114f1542c86cb1e3e7c86,cYszuGaptkk
3,3,4,6,5,5,2,2,2,3,3,2,3,2,4,6284049591dc2c6570e93482,VIqv8YRVDuY
4,3,3,6,4,3,3,5,6,6,4,5,3,2,6,611a634c7e0e602c9a6b3ad1,cYszuGaptkk
1,3,5,4,5,3,2,3,4,3,3,5,3,4,5,5c4afb7234ee9300011cbbfc,VIqv8YRVDuY
2,5,5,4,5,4,5,3,4,3,2,5,3,4,3,5c4afb7234ee9300011cbbfc,pdzliNhlqWI
7,7,6,7,7,3,1,4,2,1,3,7,2,5,1,5ba11949a896050001d50742,2-m3SEGs0kM
6,3,3,2,5,4,3,6,3,3,3,5,4,4,3,60c114f1542c86cb1e3e7c86,pdzliNhlqWI
2,2,4,3,3,4,5,2,4,5,2,4,2,3,3,5c4afb7234ee9300011cbbfc,HO-GyyhtDnA
2,2,7,3,2,6,6,3,6,6,6,6,4,2,6,5961076cee166f00019591bf,HO-GyyhtDnA
6,3,2,7,5,4,4,5,3,5,5,6,4,3,7,5fea2e6613597c51a166f24d,cYszuGaptkk
5,5,1,3,3,7,6,3,3,5,7,2,3,1,5,5ba11949a896050001d50742,Zl-50U1tsBM
