Electric_Acoustic,Distorted_Clear,Many_FewInstruments,Loud_Soft,Heavy_Light,High pitch_Low pitch,Wide_Narrow_pitch_variation,Punchy_Smooth,Harmonious_Disharmonious,Clear_NoMelody,Repetitive_NonRepetitive,Complex_SimpleRhythm,Fast_SlowTempo,Dense_Sparse,Strong_WeakBeat,prolific_id,stimulus_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,Experience with musical instruments,First Language,Hearing difficulties,Nationality,Sex,Student Status,target
2,3,3,3,3,5,6,4,3,4,5,6,4,5,4,5ebd495e39fb6f017b95054a,Zl-50U1tsBM,59,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,Ireland,Male,No,masc
3,7,7,2,7,1,6,2,5,5,5,7,5,7,5,612b5a2c55286e4cf74a63ee,VIqv8YRVDuY,47,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",DATA EXPIRED,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
3,5,3,3,3,5,3,2,3,3,3,3,3,3,2,5d4d9ea8c088850019ec5b32,Zl-50U1tsBM,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No,masc
5,5,3,5,5,3,3,5,5,5,5,3,5,3,5,5f29ed73209c1b1a178602e3,VIqv8YRVDuY,26,Nigeria,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,Nigeria,Male,Yes,fem
7,7,7,6,6,2,5,3,3,2,2,7,3,6,4,6284049591dc2c6570e93482,2-m3SEGs0kM,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
4,3,5,5,3,4,4,4,3,3,3,6,3,5,6,611a634c7e0e602c9a6b3ad1,HO-GyyhtDnA,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
3,3,3,2,2,5,3,3,5,3,3,2,2,2,2,6284049591dc2c6570e93482,Zl-50U1tsBM,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
5,6,1,3,3,6,6,4,7,7,1,7,3,1,1,5beab62b2bb2960001c9b288,Zl-50U1tsBM,57,United Kingdom,United Kingdom,Scotland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,masc
5,4,3,3,4,5,4,3,4,5,4,5,4,2,3,6284049591dc2c6570e93482,cYszuGaptkk,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Male,No,mix
5,5,6,6,6,2,3,3,2,2,3,5,3,3,3,611a634c7e0e602c9a6b3ad1,VIqv8YRVDuY,25,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No,fem
