prolific_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,Experience with musical instruments,First Language,Hearing difficulties,Nationality,Sex,Student Status
61a74f50a9217c6f76a4d0c8,34,United Kingdom,United Kingdom,Wales,Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
6142013d4dd8ae5ca2b4329b,48,United Kingdom,United Kingdom,Scotland,Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,Yes
5f9d8c7836c7202cdcc9aa28,33,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
5e6e37cf6c47283eaa39ceeb,32,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
56cefc4cb009e1000aa73684,30,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
5adfaab95f327e0001fb8c8e,36,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
61fa94eb5719bc09cb835082,53,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
6103e3edaf7f1d45872d5963,49,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
5f1732153f88740671925041,52,Netherlands,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
5971cee2f4058000011deea6,33,United Kingdom,United Kingdom,"London, England ",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
60b36a96346dd63678e6cfe6,48,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
5c4074b625379500019a8ca5,31,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
56db73e97dcddf000cd564d4,37,United Kingdom,United Kingdom,Wales,"Not in paid work (e.g. homemaker', 'retired or disabled)",Yes. For 5+ years.,English,No,United Kingdom,Female,Yes
5efddc1317f23624a7380d36,23,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,Yes
5d692cf290cade0018695dfb,63,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,Yes. For 5+ years.,English,No,United Kingdom,Male,No
5d4d9ea8c088850019ec5b32,46,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Part-Time,Yes. For 5+ years.,English,No,United Kingdom,Female,No
