Electric/Acoustic,Distorted/Clear,Many Instruments/Few Instruments,Loud/Soft,Heavy/Light,High pitch/Low pitch,Wide pitch variation/Narrow pitch variation,Punchy/Smooth,Harmonious/Disharmonious,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Dense/Sparse,Strong beat/Weak beat,prolific_id,stimulus_id
2,7,5,2,2,3,6,1,1,1,2,3,2,3,2,5efddc1317f23624a7380d36,YrKlq72U0E4
2,3,6,6,6,5,5,6,3,3,2,5,3,3,3,5efddc1317f23624a7380d36,t9Cmn8w36LI
5,3,6,5,3,3,5,5,3,2,1,2,1,5,1,5efddc1317f23624a7380d36,cU6os7foP1g
1,3,7,1,1,7,7,5,3,1,1,7,7,1,1,5efddc1317f23624a7380d36,3vqm0DO40gU
7,7,2,6,7,3,3,7,1,1,1,1,1,2,1,5efddc1317f23624a7380d36,aBARjvvUJMc
1,3,6,7,7,3,3,5,3,5,1,2,1,3,7,5efddc1317f23624a7380d36,wI1q70-bcQE
2,7,5,3,2,2,3,1,2,1,1,1,1,2,1,5efddc1317f23624a7380d36,4bLSlZyZRXc
7,2,3,7,7,5,3,7,1,2,1,2,1,2,6,5efddc1317f23624a7380d36,yVNl_oSo7bI
2,6,3,3,3,5,2,1,2,1,1,5,2,2,2,5efddc1317f23624a7380d36,fzl2R57Xsx0
2,7,5,2,2,6,6,1,1,1,1,7,3,2,1,5efddc1317f23624a7380d36,fM1ARuVwYT4
7,5,3,7,7,3,3,7,1,1,1,6,6,5,2,5efddc1317f23624a7380d36,y6wJehV4tis
1,6,7,5,1,4,1,1,7,6,1,7,7,7,7,5efddc1317f23624a7380d36,lxHh_AJ0-jE
1,7,1,1,2,3,1,5,1,1,1,6,2,1,6,5efddc1317f23624a7380d36,IdUirgutDgk
1,6,6,5,5,3,6,2,1,2,1,6,5,1,1,5efddc1317f23624a7380d36,THOQ7SmlwJc
7,7,2,5,7,3,5,3,1,1,1,2,5,3,5,5efddc1317f23624a7380d36,Tk7PvxU93oA
2,6,5,6,5,4,3,2,4,3,2,3,2,3,3,5d692cf290cade0018695dfb,uIpha8-eBes
5,6,5,7,7,6,6,6,1,2,1,7,5,1,1,5efddc1317f23624a7380d36,ndzo2ZIWfiQ
2,6,5,4,6,2,4,5,2,3,4,4,4,3,3,5d692cf290cade0018695dfb,ENjv1qKNS4A
2,6,5,3,4,3,3,4,3,3,5,4,3,3,3,5d692cf290cade0018695dfb,_XU5qHsC4Aw
6,6,5,7,7,5,5,2,2,2,1,6,3,5,3,5efddc1317f23624a7380d36,LHZKQoaZMpY
2,3,5,3,3,3,3,3,3,3,2,4,3,3,3,5d692cf290cade0018695dfb,lH9eT078eJc
6,6,6,6,7,3,4,4,4,3,3,6,4,6,4,5d692cf290cade0018695dfb,KEEFbsGQueI
3,3,7,4,4,6,4,2,6,6,4,7,2,3,2,5d4d9ea8c088850019ec5b32,dNeLMKNiAN8
2,7,6,2,2,6,2,5,1,1,1,3,3,6,1,5efddc1317f23624a7380d36,OxNe4IUIVk4
3,6,4,3,5,4,3,3,3,3,2,6,4,4,4,5d692cf290cade0018695dfb,L90gLiPafb4
2,3,7,6,6,4,4,4,3,3,2,5,3,5,3,5d4d9ea8c088850019ec5b32,LZm_wAgLSFE
2,7,4,2,6,4,4,1,5,5,2,5,3,3,4,60fd58f89d037589c34f5a18,1cBoo3E5b3Y
3,6,3,5,6,2,4,5,3,6,7,3,4,2,7,5f4e117dbfcaa83f1b418976,s8U8-dAaS0Y
2,7,2,2,6,4,3,1,4,5,3,4,3,3,3,60fd58f89d037589c34f5a18,bkJxh88VNnc
2,2,3,1,1,4,3,1,5,3,3,4,4,1,3,5d692cf290cade0018695dfb,73s4SGvL1p4
2,2,5,2,2,6,5,3,5,3,2,6,3,2,2,5d4d9ea8c088850019ec5b32,s6K40WoEq78
2,2,4,7,7,4,3,6,5,7,6,4,4,3,7,5f4e117dbfcaa83f1b418976,bBSU7U9f98w
5,6,6,7,6,5,5,5,2,2,2,5,4,6,6,60e41e3e8c52dca4b19a3487,e0CG3x4Z_fk
2,4,3,2,3,5,4,4,6,6,4,3,3,2,4,60fd58f89d037589c34f5a18,jltRPLHjR0o
5,5,3,4,4,4,3,4,5,4,3,4,4,3,4,5d692cf290cade0018695dfb,02qnqWCCdaI
