Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,tmf_core,tmf_would_like_to_be,tmf_interests_seen_as,tmf_attitudes_seen_as,tmf_behaviour_seen_as,tmf_appearance_seen_as,sex,gender_identity,gender_text,sex_orientation,orient_text,ethnicity,disability,community_sss,national_sss,target,tmf_avg,tmf_label,sss_avg
3,2,5,4,1,1,1,5e130b3f54e2f09436f73393,pdzliNhlqWI,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,fem,4.333333333333333,neither nor,8.0
7,3,2,1,6,4,5,597e220e30b1d90001f5f14a,Zl-50U1tsBM,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,masc,5.0,resolutely feminine,1.5
6,5,4,3,3,1,2,597e220e30b1d90001f5f14a,pdzliNhlqWI,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0,fem,5.0,resolutely feminine,1.5
4,4,2,1,5,3,3,5c9c7cc072bf7f0017b6b798,Zl-50U1tsBM,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,masc,2.0,resolutely masculine,7.0
6,5,4,4,5,1,5,5f15a35ae74deb1deeb0668b,cYszuGaptkk,21,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0,mix,5.166666666666667,resolutely feminine,5.5
6,4,4,4,6,2,5,5f15a35ae74deb1deeb0668b,Zl-50U1tsBM,21,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,5.0,masc,5.166666666666667,resolutely feminine,5.5
1,7,1,2,1,1,1,5b017ef1293d310001023bd8,pdzliNhlqWI,67,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,fem,1.0,resolutely masculine,7.0
5,6,4,5,5,1,3,5e130b3f54e2f09436f73393,HO-GyyhtDnA,41,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,4.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,9.0,7.0,masc,4.333333333333333,neither nor,8.0
6,5,5,3,6,1,3,5ff6e8dc5da4c728c5494d60,2-m3SEGs0kM,45,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,5.0,5.0,4.0,5.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,No,6.0,6.0,mix,5.0,resolutely feminine,6.0
6,3,4,3,2,1,1,5c9c7cc072bf7f0017b6b798,pdzliNhlqWI,40,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Full-Time,English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0,fem,2.0,resolutely masculine,7.0
