prolific_id,age,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Hearing difficulties,Nationality,Sex,Student Status,tmf_core,tmf_would_like_to_be,tmf_interests_seen_as,tmf_attitudes_seen_as,tmf_behaviour_seen_as,tmf_appearance_seen_as,sex,gender_identity,gender_text,sex_orientation,orient_text,ethnicity,disability,community_sss,national_sss
6019f8c5abe00c1fd54f19d3,32,Nigeria,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,Nigeria,Male,Yes,2.0,2.0,3.0,1.0,1.0,2.0,Male,Man,,Heterosexual (straight),,Black,No,6.0,6.0
60d1c82e42c14a1bfe66293c,31,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,6.0,4.0
56235e19ed6e5a0011c80a7b,40,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,5.0,5.0
615f4485ee8fcad69ef8d38b,38,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,2.0,2.0,2.0,2.0,Male,Man,,Heterosexual (straight),,White,No,6.0,6.0
5eede63f737c352242d67b5b,36,United Kingdom,United Kingdom,Wales,Full-Time,English,No,United Kingdom,Male,No,4.0,4.0,4.0,4.0,3.0,3.0,Male,Man,,Bisexual,,White,Yes,4.0,3.0
60fb323fd098c157e1e985ae,66,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,7.0,7.0,4.0,5.0,4.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,7.0
5bd4f33c4b4f9e0001130cc5,24,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,Yes,2.0,2.0,1.0,1.0,1.0,2.0,Male,Man,,Heterosexual (straight),,Other,No,5.0,4.0
57c426fa9fe51d00012391f1,57,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,6.0,4.0,5.0,6.0,Female,Woman,,Heterosexual (straight),,White,Yes,4.0,5.0
5cab5974785bb400176d3380,52,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,5.0,5.0,4.0,4.0,4.0,5.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0
582ecbacc2e1310001685463,39,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,2.0,3.0,4.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,4.0,4.0
5d5455f1182ac900014988fd,34,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,English,No,United Kingdom,Female,No,6.0,6.0,6.0,6.0,6.0,6.0,Female,Woman,,Homosexual (lesbian or gay),,White,No,6.0,6.0
5dbcab7226c04c250046cab5,40,United Kingdom,United Kingdom,Northern Ireland,Part-Time,English,No,United Kingdom,Female,Yes,5.0,5.0,5.0,5.0,5.0,5.0,Female,Woman,,Heterosexual (straight),,White,Yes,5.0,5.0
59664cebaf78da0001a22b4a,37,United Kingdom,United Kingdom,Scotland,Part-Time,English,No,United Kingdom,Female,DATA EXPIRED,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,3.0,3.0
5c79211f477abb00168f7f72,55,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,6.0,6.0,6.0,6.0,7.0,7.0,I prefer not to answer,I prefer not to answer,,I prefer not to answer,,I prefer not to answer,No,6.0,6.0
5fbf5bb18fabf61b61f88006,21,United Kingdom,United Kingdom,Wales,Part-Time,English,No,United Kingdom,Male,Yes,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,5.0,4.0
5f11841e41278f0008ec17c1,54,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,3.0,3.0,2.0,1.0,Male,Man,,Heterosexual (straight),,I prefer not to answer,Yes,5.0,5.0
5e394c6546d3c11570e9f25d,40,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,No,United Kingdom,Male,DATA EXPIRED,3.0,2.0,3.0,4.0,4.0,3.0,Male,Man,,Heterosexual (straight),,White,No,6.0,7.0
5ea026ebbc5a78011ea73ffb,78,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,1.0,1.0,2.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,7.0
60183476ad6cff03e6cfe62a,35,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Part-Time,English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,7.0,7.0,Female,Woman,,Heterosexual (straight),,White,No,7.0,8.0
5d29c671bc573b00165c9014,38,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,3.0,3.0,4.0,4.0,3.0,2.0,Male,Man,,Bisexual,,White,Yes,4.0,4.0
602fea460a29c4d98a5d8034,53,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,1.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,9.0,6.0
5ce15b0ea7b516001828c646,59,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,No,United Kingdom,Male,No,1.0,1.0,1.0,2.0,1.0,1.0,Male,Man,,Heterosexual (straight),,White,No,7.0,6.0
605273bcd0b9b4510724f3d7,32,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,English,No,United Kingdom,Female,No,3.0,5.0,4.0,6.0,3.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,2.0,3.0
581ba6684182b600017306fa,42,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,No,United Kingdom,Female,No,3.0,4.0,2.0,4.0,3.0,5.0,Female,Woman,,Bisexual,,White,No,4.0,4.0
5e89ba09ec9b3364b1fc0bd1,42,United States,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,Yes,3.0,3.0,2.0,3.0,3.0,1.0,Male,Man,,Bisexual,,White,No,4.0,4.0
5f0ebcdf13efbf091b37c4b4,29,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Unemployed (and job seeking),English,No,United Kingdom,Female,No,7.0,7.0,7.0,7.0,5.0,7.0,Female,Woman,,Heterosexual (straight),,White,Yes,7.0,6.0
5ea7e6404920c71db37018f8,43,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Male,No,2.0,2.0,2.0,2.0,2.0,1.0,Male,Man,,Heterosexual (straight),,White,Yes,5.0,3.0
5f383c7bbd56880ee4aff419,36,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,Female,No,4.0,5.0,4.0,4.0,3.0,3.0,Female,Woman,,I prefer to self-describe as,demisexual,White,Yes,2.0,2.0
597e220e30b1d90001f5f14a,30,United Kingdom,United Kingdom,Scotland,Full-Time,English,No,United Kingdom,Female,No,4.0,6.0,6.0,5.0,5.0,4.0,Female,Woman,,Heterosexual (straight),,White,No,1.0,2.0
