Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,prolific_id,stimulus_id
7,3,7,7,7,1,7,61f2ae4aa09e72f23cbafa9a,NLBZzszOhx0
3,5,3,1,4,1,2,597e220e30b1d90001f5f14a,_mWQG-4Sc2U
5,4,3,4,4,1,2,5d9e1929203419001625df07,KEEFbsGQueI
6,5,4,2,5,1,2,597e220e30b1d90001f5f14a,yJ0v0wuokZE
3,2,3,1,6,4,6,597e220e30b1d90001f5f14a,hsKRQfwRRSI
2,3,2,1,4,1,3,5aae8f78811b2000016f7c7b,erLps-ZnGlc
5,6,3,2,6,3,3,597e220e30b1d90001f5f14a,9AVeLwg2LAw
6,6,5,2,5,1,2,597e220e30b1d90001f5f14a,i7zsJj3XgBc
5,2,3,1,7,1,4,597e220e30b1d90001f5f14a,e2KvH1ZAX84
1,1,1,1,2,1,1,5f383c7bbd56880ee4aff419,95mk--0FTEw
2,2,1,2,1,1,1,5b017ef1293d310001023bd8,viov3zTevto
3,4,2,1,5,6,2,597e220e30b1d90001f5f14a,O-h2PeR39PI
5,1,1,1,7,1,1,5f383c7bbd56880ee4aff419,9CRrye6_oFo
2,2,3,1,6,6,6,597e220e30b1d90001f5f14a,2MFyIarn1mk
6,4,3,4,5,1,3,5c9c7cc072bf7f0017b6b798,s8U8-dAaS0Y
5,1,1,1,2,1,1,5f383c7bbd56880ee4aff419,972oFsnpDmE
4,1,7,7,1,1,1,5f22de3904d2a80008ca108a,NOpz_7iEGD4
4,5,4,2,6,2,6,597e220e30b1d90001f5f14a,YrKlq72U0E4
6,3,4,2,6,2,6,5c9c7cc072bf7f0017b6b798,K2JvLAtwVcY
7,7,3,2,6,1,2,5c9c7cc072bf7f0017b6b798,5o0l0bpeTaQ
3,2,5,2,5,2,6,597e220e30b1d90001f5f14a,eIUvtChuEs0
3,2,1,1,3,2,2,5f383c7bbd56880ee4aff419,cP642WWyWO8
2,2,2,1,7,7,5,5c9c7cc072bf7f0017b6b798,5KIK9JG9Ebs
6,7,4,5,5,1,2,597e220e30b1d90001f5f14a,HWp1y2cHrgo
6,2,1,1,4,1,2,5f383c7bbd56880ee4aff419,6q8reMr7gNA
4,2,2,2,5,1,4,5c9c7cc072bf7f0017b6b798,Ey3HojynMqM
7,3,2,2,6,1,2,611a665e428e9a57ba0de804,p9TNF9Bv4aw
6,5,1,1,4,1,1,5f383c7bbd56880ee4aff419,Ik1vebgUXxA
